	AT	CC	CG	GD	JM	JR	JS	NL	RK	SC	TP	YY
AT		0.6015625	0.5454545454545454	0.5661764705882353	0.5454545454545454	0.6287878787878788	0.5757575757575758	0.5546875	0.5606060606060606	0.6015625	0.5757575757575758	0.5546875
CC	0.6015625		0.5546875	0.5833333333333334	0.546875	0.6171875	0.5625	0.49193548387096775	0.546875	0.9919354838709677	0.5703125	0.5241935483870968
CG	0.5454545454545454	0.5546875		0.5367647058823529	1.0	0.5681818181818182	1.0	1.0	0.5606060606060606	0.5859375	0.5984848484848485	0.5546875
GD	0.5661764705882353	0.5833333333333334	0.5367647058823529		0.5588235294117647	0.5882352941176471	0.5588235294117647	0.48484848484848486	0.5514705882352942	0.5909090909090909	0.5735294117647058	0.5606060606060606
JM	0.5454545454545454	0.546875	1.0	0.5588235294117647		1.0	0.553030303030303	0.5546875	0.4772727272727273	0.5625	0.6060606060606061	0.5234375
JR	0.6287878787878788	0.6171875	0.5681818181818182	0.5882352941176471	1.0		0.5833333333333334	0.9140625	0.7954545454545454	0.5859375	0.6287878787878788	0.5625
JS	0.5757575757575758	0.5625	1.0	0.5588235294117647	0.553030303030303	0.5833333333333334		0.5546875	0.5454545454545454	0.5859375	0.5757575757575758	0.5390625
NL	0.5546875	0.49193548387096775	1.0	0.48484848484848486	0.5546875	0.9140625	0.5546875		0.546875	1.0	0.546875	0.5080645161290323
RK	0.5606060606060606	0.546875	0.5606060606060606	0.5514705882352942	0.4772727272727273	0.7954545454545454	0.5454545454545454	0.546875		0.6015625	0.5757575757575758	0.53125
SC	0.6015625	0.9919354838709677	0.5859375	0.5909090909090909	0.5625	0.5859375	0.5859375	1.0	0.6015625		0.578125	0.532258064516129
TP	0.5757575757575758	0.5703125	0.5984848484848485	0.5735294117647058	0.6060606060606061	0.6287878787878788	0.5757575757575758	0.546875	0.5757575757575758	0.578125		0.5390625
YY	0.5546875	0.5241935483870968	0.5546875	0.5606060606060606	0.5234375	0.5625	0.5390625	0.5080645161290323	0.53125	0.532258064516129	0.5390625	
