,AT,CC,GD,JM,JR,JS,ML,NL,RK,SC,YY
AT,,0.6041666666666666,0.5576923076923077,0.6666666666666666,0.675,0.6666666666666666,0.6,0.7222222222222222,0.5666666666666667,0.6041666666666666,0.5625
CC,0.6666666666666666,,0.5384615384615384,0.6666666666666666,0.625,0.6666666666666666,0.6,0.6944444444444444,0.5833333333333334,0.5625,0.6041666666666666
GD,0.6666666666666666,0.6666666666666666,,0.6666666666666666,0.65,0.6666666666666666,0.6,0.7222222222222222,0.5833333333333334,0.625,0.5833333333333334
JM,0.6666666666666666,0.6041666666666666,0.5384615384615384,,0.675,0.5833333333333334,0.575,0.7777777777777778,0.6,0.625,0.5625
JR,0.7083333333333334,0.6041666666666666,0.5384615384615384,0.6666666666666666,,0.6666666666666666,0.6,0.75,0.5833333333333334,0.6041666666666666,0.5833333333333334
JS,0.6666666666666666,0.5833333333333334,0.5384615384615384,0.6666666666666666,0.6,,0.6,0.7222222222222222,0.5833333333333334,0.625,0.6041666666666666
ML,0.6666666666666666,0.6458333333333334,0.5576923076923077,0.6666666666666666,0.675,0.5833333333333334,,0.7222222222222222,0.5833333333333334,0.6458333333333334,0.6458333333333334
NL,0.6666666666666666,0.625,0.5576923076923077,0.6666666666666666,0.75,0.6666666666666666,0.6,,0.5833333333333334,0.6041666666666666,0.5625
RK,0.625,0.5833333333333334,0.5576923076923077,0.75,0.725,0.5833333333333334,0.6,0.7222222222222222,,0.625,0.6041666666666666
SC,0.6666666666666666,0.5833333333333334,0.5384615384615384,0.6666666666666666,0.575,0.5833333333333334,0.6,0.6666666666666666,0.5666666666666667,,0.6041666666666666
YY,0.6666666666666666,0.7083333333333334,0.5384615384615384,0.6666666666666666,0.6,0.6666666666666666,0.6,0.6944444444444444,0.6,0.625,
