,AT,CC,GD,JM,JR,JS,ML,NL,RK,SC,YY
AT,,0.6076388888888888,0.6346153846153846,0.6875,0.6729166666666667,0.7430555555555555,0.6229166666666667,0.6458333333333334,0.611111111111111,0.5902777777777778,0.6267361111111112
CC,0.7430555555555555,,0.6346153846153847,0.6805555555555557,0.6625,0.7430555555555555,0.6208333333333333,0.6597222222222222,0.6,0.5885416666666667,0.623263888888889
GD,0.7465277777777778,0.607638888888889,,0.6805555555555557,0.6583333333333333,0.7847222222222222,0.63125,0.6597222222222223,0.6194444444444444,0.59375,0.6232638888888888
JM,0.7604166666666666,0.6145833333333334,0.6426282051282051,,0.6729166666666667,0.7361111111111112,0.6375,0.6550925925925926,0.6180555555555555,0.5885416666666666,0.6354166666666666
JR,0.75,0.6128472222222223,0.6346153846153847,0.673611111111111,,0.75,0.6270833333333332,0.6597222222222222,0.6138888888888888,0.59375,0.6284722222222223
JS,0.7430555555555555,0.6163194444444444,0.626602564102564,0.673611111111111,0.6729166666666666,,0.6375,0.6550925925925926,0.6180555555555555,0.5885416666666666,0.6267361111111112
ML,0.7708333333333334,0.6128472222222223,0.6394230769230769,0.673611111111111,0.6729166666666666,0.763888888888889,,0.6689814814814815,0.6125,0.5972222222222222,0.6458333333333335
NL,0.7291666666666666,0.6145833333333334,0.6314102564102564,0.6875,0.6749999999999999,0.7222222222222222,0.6375000000000001,,0.6277777777777777,0.6041666666666667,0.6319444444444444
RK,0.7291666666666666,0.6076388888888891,0.6442307692307692,0.701388888888889,0.6749999999999999,0.7430555555555555,0.6291666666666668,0.6620370370370371,,0.5868055555555556,0.625
SC,0.75,0.6024305555555556,0.6330128205128206,0.6805555555555555,0.6625,0.7083333333333334,0.6479166666666666,0.650462962962963,0.6,,0.6388888888888887
YY,0.7465277777777778,0.607638888888889,0.6282051282051281,0.6805555555555557,0.6625,0.7430555555555555,0.61875,0.6550925925925927,0.6083333333333333,0.592013888888889,
